Company,Symbol,companyLow,charLength,companyFinal
Charles & Colvard .,CTHR,charles & colvard .,4,charles & colvard
Charm Communications  (ADR),CHRM,charm communications  (adr),3,charm communications
Chart Industries ,GTLS,chart industries ,2,chart industries
Charter Communications ,CHTR,charter communications ,2,charter communications
Charter Financial Corp,CHFN,charter financial corp,3,charter financial corp
Check Cap ,CHEK,check cap ,2,check cap
Check Point Software Technologies .,CHKP,check point software technologies .,5,check point software
Cheesecake Factory ,CAKE,cheesecake factory ,2,cheesecake factory
Chefs' Warehouse ,CHEF,chefs' warehouse ,2,chefs' warehouse
Chelsea Therapeutics International . (Inactive),CHTP,chelsea therapeutics international . (inactive),5,chelsea therapeutics international
Chembio Diagnostics ,CEMI,chembio diagnostics ,2,chembio diagnostics
Chemical Financial Corporation,CHFC,chemical financial corporation,3,chemical financial corporation
ChemoCentryx ,CCXI,chemocentryx ,1,chemocentryx
Chemung Financial Corp.,CHMG,chemung financial corp.,3,chemung financial corp.
Cherokee ,CHKE,cherokee ,1,cherokee
Cheviot Financial Corp.,CHEV,cheviot financial corp.,3,cheviot financial corp.
Chiasma ,CHMA,chiasma ,1,chiasma
Chicopee Bancorp ,CBNK,chicopee bancorp ,2,chicopee bancorp
Chiesi USA ,CRTX,chiesi usa ,2,chiesi usa
Childrens Place ,E,childrens place ,2,childrens place
Chimerix ,CMRX,chimerix ,1,chimerix
China Advanced Constructn Mtrls Grp ,CADC,china advanced constructn mtrls grp ,5,china advanced constructn
China Auto Logistics ,CALI,china auto logistics ,3,china auto logistics
China Auto Rental Holdings ,CARH,china auto rental holdings ,4,china auto rental
China Automotive Systems ,CAAS,china automotive systems ,3,china automotive systems
China Biologic Products ,CBPO,china biologic products ,3,china biologic products
China Ceramics Co ,CCCL,china ceramics co ,3,china ceramics co
China Ceramics Co. .  Units,CCCLU,china ceramics co. .  units,5,china ceramics co.
China Commercial Credit ,CCCR,china commercial credit ,3,china commercial credit
China Customer Relations Centers ,CCRC,china customer relations centers ,4,china customer relations
China Finance Online Co. (ADR),JRJC,china finance online co. (adr),5,china finance online
China Grentech Corp  (ADR),GRRF,china grentech corp  (adr),4,china grentech corp
China Hgs Real Estate ,HGSH,china hgs real estate ,4,china hgs real
China Housing & Land Development ,CHLN,china housing & land development ,5,china housing &
China Information Technology   Ordinary Shares,CNIT,china information technology   ordinary shares,5,china information technology
China JoJo Drugstores ,CJJD,china jojo drugstores ,3,china jojo drugstores
China Lending Corp,CLDC,china lending corp,3,china lending corp
China Lending Corp,CADTU,china lending corp,3,china lending corp
China Lodging Group  (ADR),HTHT,china lodging group  (adr),4,china lodging group
China Mobile Games & Entnmnt Grp ,CMGE,china mobile games & entnmnt grp ,6,china mobile games
China Natural Resources ,CHNR,china natural resources ,3,china natural resources
China Nuokang BioPharmaceutical ,NKBP,china nuokang biopharmaceutical ,3,china nuokang biopharmaceutical
China Real Estate Information Corp (Inactive),CRIC,china real estate information corp (inactive),6,china real estate
China Recycling Energy Corp.,CREG,china recycling energy corp.,4,china recycling energy
China Shengda Packaging Group ,CPGI,china shengda packaging group ,4,china shengda packaging
China Techfaith Wireless Comm. Tech. ,CNTF,china techfaith wireless comm. tech. ,5,china techfaith wireless
China TransInfo Technology Corp. (Inactive),CTFO,china transinfo technology corp. (inactive),5,china transinfo technology
China XD Plastics Co ,CXDC,china xd plastics co ,4,china xd plastics
China Yida Holding Co,CNYD,china yida holding co,4,china yida holding
ChinaCache International Holdings ,CCIH,chinacache international holdings ,3,chinacache international holdings
ChinaEdu Corporation (ADR) (Inactive),CEDU,chinaedu corporation (adr) (inactive),4,chinaedu corporation (adr)
Chinanet Online Holdings ,CNET,chinanet online holdings ,3,chinanet online holdings
Chindex International  (Inactive),CHDX,chindex international  (inactive),3,chindex international
ChipMOS TECHNOLOGIES   American Depositary Shares,IMOS,chipmos technologies   american depositary shares,5,chipmos technologies
Chromadex Corp,CDXC,chromadex corp,2,chromadex corp
Chukong Holdings  (ADR),NEXT,chukong holdings  (adr),3,chukong holdings
Churchill Downs ,CHDN,churchill downs ,2,churchill downs
Chuy's Holdings ,CHUY,chuy's holdings ,2,chuy's holdings
Chyronhego Corp,CHYR,chyronhego corp,2,chyronhego corp
Cidara Therapeutics ,CDTX,cidara therapeutics ,2,cidara therapeutics
Cimatron .,CIMT,cimatron .,2,cimatron .
Cimpress NV,CMPR,cimpress nv,2,cimpress nv
Cinnati Financial Corporation,CINF,cinnati financial corporation,3,cinnati financial corporation
Cinedigm Corp,CIDM,cinedigm corp,2,cinedigm corp
Cintas Corporation,CTAS,cintas corporation,2,cintas corporation
Cirrus Logic ,CRUS,cirrus logic ,2,cirrus logic
Cisco Systems ,CSCO,cisco systems ,2,cisco systems
Citi Trends ,CTRN,citi trends ,2,citi trends
Citizens & Northern Corporation,CZNC,citizens & northern corporation,4,citizens & northern
Citizens Community Bancorp ,CZWI,citizens community bancorp ,3,citizens community bancorp
Citizens First Corp.,CZFC,citizens first corp.,3,citizens first corp.
Citizens Holding Company,CIZN,citizens holding company,3,citizens holding company
Citizens Republic Bancorp  (Inactive),CRBC,citizens republic bancorp  (inactive),4,citizens republic bancorp
Citizens South Banking Corp.,CSBC,citizens south banking corp.,4,citizens south banking
Citrix Systems ,CTXS,citrix systems ,2,citrix systems
Citrix Systems  ExDistribution When Issued,CTXSV,citrix systems  exdistribution when issued,5,citrix systems
City Holding Company,CHCO,city holding company,3,city holding company
Civista Bancshares ,CIVBP,civista bancshares ,2,civista bancshares
Civista Bancshares ,CIVB,civista bancshares ,2,civista bancshares
Civitas Therapeutics ,CVTS,civitas therapeutics ,2,civitas therapeutics
Clean Diesel Technologies ,CDTI,clean diesel technologies ,3,clean diesel technologies
Clean Energy Fuels Corp,CLNE,clean energy fuels corp,4,clean energy fuels
Cleantech Solutions International ,CLNT,cleantech solutions international ,3,cleantech solutions international
ClearOne oprorated,CLRO,clearone oprorated,2,clearone oprorated
Clearfield ,CLFD,clearfield ,1,clearfield
Clearside Biomedical ,CLSD,clearside biomedical ,2,clearside biomedical
Clearwire Corp (Inactive),CLWR,clearwire corp (inactive),3,clearwire corp (inactive)
Cleveland BioLabs ,CBLI,cleveland biolabs ,2,cleveland biolabs
Clicksoftware Technologies ,CKSW,clicksoftware technologies ,2,clicksoftware technologies
Clifton Bancorp ,CSBK,clifton bancorp ,2,clifton bancorp
Clovis Oncology ,CLVS,clovis oncology ,2,clovis oncology
Cnova NV,CNV,cnova nv,2,cnova nv
CoBiz Financial ,COBZ,cobiz financial ,2,cobiz financial
CoLucid Pharmaceuticals ,CLCD,colucid pharmaceuticals ,2,colucid pharmaceuticals
CoStar Group ,CSGP,costar group ,2,costar group
Coastal Contacts ,COA,coastal contacts ,2,coastal contacts
Coastway Bancorp ,CWAY,coastway bancorp ,2,coastway bancorp
Cobra Electronics Corp (Inactive),COBR,cobra electronics corp (inactive),4,cobra electronics corp
CocaCola Bottling Co. Consolidated,COKE,cocacola bottling co. consolidated,4,cocacola bottling co.
Codexis ,CDXS,codexis ,1,codexis
Codorus Valley Bancorp ,CVLY,codorus valley bancorp ,3,codorus valley bancorp
Coffee Holding Co. ,JVA,coffee holding co. ,3,coffee holding co.
Cogent Communications Holdings ,CCOI,cogent communications holdings ,3,cogent communications holdings
Cogentix Medical ,CGNT,cogentix medical ,2,cogentix medical
Cogint ,COGT,cogint ,1,cogint
Cognex Corporation,CGNX,cognex corporation,2,cognex corporation
Cognizant Technology Solutions Corp,CTSH,cognizant technology solutions corp,4,cognizant technology solutions
Coherent ,COHR,coherent ,1,coherent
Coherus Biosciences ,CHRS,coherus biosciences ,2,coherus biosciences
Cohu ,COHU,cohu ,1,cohu
Coleman Cable LLC (Inactive),CCIX,coleman cable llc (inactive),4,coleman cable llc
Collabrium Japan Acquisition Corp,JACQ,collabrium japan acquisition corp,4,collabrium japan acquisition
Collabrium Japan Acquisition Corp,JACQU,collabrium japan acquisition corp,4,collabrium japan acquisition
Collectors Universe ,CLCT,collectors universe ,2,collectors universe
Collegium Pharmaceutical ,COLL,collegium pharmaceutical ,2,collegium pharmaceutical
Colliers International Group ,CIGI,colliers international group ,3,colliers international group
Colonial Financial Services ,COBK,colonial financial services ,3,colonial financial services
Colony Bankcorp ,CBAN,colony bankcorp ,2,colony bankcorp
Columbia Banking System ,COLB,columbia banking system ,3,columbia banking system
Columbia Sportswear Company,COLM,columbia sportswear company,3,columbia sportswear company
Columbus McKinnon Corp.,CMCO,columbus mckinnon corp.,3,columbus mckinnon corp.
CombiMatrix Corp,CBMX,combimatrix corp,2,combimatrix corp
Comcast Corporation,CMCSA,comcast corporation,2,comcast corporation
Comcast Corporation,CMCSK,comcast corporation,2,comcast corporation
CommVault Systems ,CVLT,commvault systems ,2,commvault systems
Commerce Bancshares ,CBSH,commerce bancshares ,2,commerce bancshares
Commerce Bancshares   Depositary Shares each representing a 1/1000th interest of 6.00% Series B NonCumulative Perpetual Preferred Stock,CBSHP,commerce bancshares   depositary shares each representing a 1/1000th interest of 6.00% series b noncumulative perpetual preferred stock,17,commerce bancshares
Commerce Union Bancshares ,CUBN,commerce union bancshares ,3,commerce union bancshares
CommerceFirst Bancorp  (Inactive),CMFB,commercefirst bancorp  (inactive),3,commercefirst bancorp
CommerceHub ,CHUBK,commercehub ,1,commercehub
CommerceHub ,CHUBA,commercehub ,1,commercehub
Commercial Vehicle Group ,CVGI,commercial vehicle group ,3,commercial vehicle group
Commscope Holding Company ,COMM,commscope holding company ,3,commscope holding company
Communications Systems ,JCS,communications systems ,2,communications systems
Community Bankers Trust Corp.,ESXB,community bankers trust corp.,4,community bankers trust
Community Capital Corporation (Inactive),CPBK,community capital corporation (inactive),4,community capital corporation
Community Choice Financial ,CCFI,community choice financial ,3,community choice financial
Community Financial Corp,TCFC,community financial corp,3,community financial corp
Community Financial Corp. (Inactive),CFFC,community financial corp. (inactive),4,community financial corp.
Community First Bancshares ,CFBI,community first bancshares ,3,community first bancshares
Community Trust Bancorp ,CTBI,community trust bancorp ,3,community trust bancorp
Community West Bancshares,CWBC,community west bancshares,3,community west bancshares
CommunityOne Bancorp,COB,communityone bancorp,2,communityone bancorp
Compass EMP Funds Trust,CIZ,compass emp funds trust,4,compass emp funds
Compass EMP Funds Trust,CFA,compass emp funds trust,4,compass emp funds
Compass EMP Funds Trust,CSF,compass emp funds trust,4,compass emp funds
Compass EMP Funds Trust,CFO,compass emp funds trust,4,compass emp funds
Complete Genomics ,GNOM,complete genomics ,2,complete genomics
Compugen . (USA),CGEN,compugen . (usa),3,compugen . (usa)
Computer Programs & Systems ,CPSI,computer programs & systems ,4,computer programs &
Computer Task Group ,CTG,computer task group ,3,computer task group
Compuware Corporation (Inactive),CPWR,compuware corporation (inactive),3,compuware corporation (inactive)
Comstock Holding Companies ,CHCI,comstock holding companies ,3,comstock holding companies
Comtech Telecomm. Corp.,CMTL,comtech telecomm. corp.,3,comtech telecomm. corp.
Comverge  (Inactive),COMV,comverge  (inactive),2,comverge (inactive)
Comverse Technology  (Inactive),CMVT,comverse technology  (inactive),3,comverse technology
Comverse Technology ,CMVTV,comverse technology ,2,comverse technology
Conatus Pharmaceuticals ,CNAT,conatus pharmaceuticals ,2,conatus pharmaceuticals
Concordia International Corp,CXRX,concordia international corp,3,concordia international corp
Concur Technologies ,CNQR,concur technologies ,2,concur technologies
Concurrent Computer Corp,CCUR,concurrent computer corp,3,concurrent computer corp
Condor Hospitality Trust ,CDOR,condor hospitality trust ,3,condor hospitality trust
Condor Hospitality Trust  Series A Cumulative Preferred Stock,CDORP,condor hospitality trust  series a cumulative preferred stock,8,condor hospitality trust
Condor Hospitality Trust  Series B Cumulative Preferred Stock,CDORO,condor hospitality trust  series b cumulative preferred stock,8,condor hospitality trust
ConforMIS ,CFMS,conformis ,1,conformis
Congatec Holding AG  ADR,CONG,congatec holding ag  adr,4,congatec holding ag
Conifer Holdings ,CNFR,conifer holdings ,2,conifer holdings
Conn's ,CONN,conn's ,1,conn's
ConnectOne Bancorp ,CNOB,connectone bancorp ,2,connectone bancorp
Connecticut Water Service ,CTWS,connecticut water service ,3,connecticut water service
Connecture ,CNXR,connecture ,1,connecture
Consolidated Communications Holdings ,CNSL,consolidated communications holdings ,3,consolidated communications holdings
Consolidated Water Co. .,CWCO,consolidated water co. .,4,consolidated water co.
Constant Contact ,CTCT,constant contact ,2,constant contact
Consumer Portfolio Services ,CPSS,consumer portfolio services ,3,consumer portfolio services
ContraFect Corp,CFRXU,contrafect corp,2,contrafect corp
ContraFect Corp,CFRX,contrafect corp,2,contrafect corp
ContraVir Pharmaceuticals ,CTRV,contravir pharmaceuticals ,2,contravir pharmaceuticals
Control4 Corp,CTRL,control4 corp,2,control4 corp
Conversant  (Inactive),CNVR,conversant  (inactive),2,conversant (inactive)
Convio ,CNVO,convio ,1,convio
Conyers Park Acquisition Corp,CPAAU,conyers park acquisition corp,4,conyers park acquisition
Conyers Park Acquisition Corp.,CPAA,conyers park acquisition corp.,4,conyers park acquisition
Copano Energy L.L.C.,CPNO,copano energy l.l.c.,3,copano energy l.l.c.
Copart ,CPRT,copart ,1,copart
CorVel Corporation,CRVL,corvel corporation,2,corvel corporation
Corbus Pharmaceuticals Holdings ,CRBP,corbus pharmaceuticals holdings ,3,corbus pharmaceuticals holdings
Corcept Therapeutics orporated,CORT,corcept therapeutics orporated,3,corcept therapeutics orporated
Cordia Bancorp ,BVA,cordia bancorp ,2,cordia bancorp
CoreMark Holding Company ,CORE,coremark holding company ,3,coremark holding company
Corium International ,CORI,corium international ,2,corium international
Cornerstone OnDemand ,CSOD,cornerstone ondemand ,2,cornerstone ondemand
Corsair Components ,CRSR,corsair components ,2,corsair components
Corvus Pharmaceuticals ,CRVS,corvus pharmaceuticals ,2,corvus pharmaceuticals
Cost Plus ,CPWM,cost plus ,2,cost plus
Costa  (Inactive),ATX,costa  (inactive),2,costa (inactive)
Costco Wholesale Corporation,COST,costco wholesale corporation,3,costco wholesale corporation
CounterPath Corp.,CPAH,counterpath corp.,2,counterpath corp.
County Bancorp ,ICBK,county bancorp ,2,county bancorp
Coupa Software ,COUP,coupa software ,2,coupa software
Courier Corporation,CRRC,courier corporation,2,courier corporation
Covenant Transportation Group ,CVTI,covenant transportation group ,3,covenant transportation group
Covisint Corp,COVS,covisint corp,2,covisint corp
Cowen ,COWN,cowen ,1,cowen
Cracker Barrel Old Country Store ,CBRL,cracker barrel old country store ,5,cracker barrel old
Craft Brew Alliance ,BREW,craft brew alliance ,3,craft brew alliance
Cray ,CRAY,cray ,1,cray
Credit Acceptance Corp.,CACC,credit acceptance corp.,3,credit acceptance corp.
Credit Suisse AG  Credit Suisse Gold Shares Covered Call Exchange Traded Notes,GLDI,credit suisse ag  credit suisse gold shares covered call exchange traded notes,12,credit suisse ag
Credit Suisse AG  Credit Suisse Silver Shares Covered Call Exchange Traded Notes,SLVO,credit suisse ag  credit suisse silver shares covered call exchange traded notes,12,credit suisse ag
Credit Suisse AG  VelocityShares 2x Inverse Platinum ETN,IPLT,credit suisse ag  velocityshares 2x inverse platinum etn,8,credit suisse ag
Credit Suisse AG  VelocityShares 2x Long Patinum ETN,LPLT,credit suisse ag  velocityshares 2x long patinum etn,8,credit suisse ag
Credit Suisse AG  VelocityShares 3x Inverse Gold ETN,DGLD,credit suisse ag  velocityshares 3x inverse gold etn,8,credit suisse ag
Credit Suisse AG  VelocityShares 3x Inverse Silver ETN,DSLV,credit suisse ag  velocityshares 3x inverse silver etn,8,credit suisse ag
Credit Suisse AG  VelocityShares 3x Long Gold ETN,UGLD,credit suisse ag  velocityshares 3x long gold etn,8,credit suisse ag
Credit Suisse AG  VelocityShares 3x Long Silver ETN,USLV,credit suisse ag  velocityshares 3x long silver etn,8,credit suisse ag
Credit Suisse AG  VelocityShares Daily 2x VIX Medium Term ETN,TVIZ,credit suisse ag  velocityshares daily 2x vix medium term etn,10,credit suisse ag
Credit Suisse AG  VelocityShares Daily 2x VIX Short Term ETN,TVIX,credit suisse ag  velocityshares daily 2x vix short term etn,10,credit suisse ag
Credit Suisse AG  VelocityShares Daily Inverse VIX Medium Term ETN,ZIV,credit suisse ag  velocityshares daily inverse vix medium term etn,10,credit suisse ag
Credit Suisse AG  VelocityShares Daily Inverse VIX Short Term ETN,XIV,credit suisse ag  velocityshares daily inverse vix short term etn,10,credit suisse ag
Credit Suisse AG  VelocityShares VIX Medium Term ETN,VIIZ,credit suisse ag  velocityshares vix medium term etn,8,credit suisse ag
Credit Suisse AG  VelocityShares VIX Short Term ETN,VIIX,credit suisse ag  velocityshares vix short term etn,8,credit suisse ag
Cree ,CREE,cree ,1,cree
Cresud S.A.C.I.F. y A. (ADR),CRESY,cresud s.a.c.i.f. y a. (adr),5,cresud s.a.c.i.f. y
Crimson Exploration ,CXPO,crimson exploration ,2,crimson exploration
Crispr Therapeutics AG,CRSP,crispr therapeutics ag,3,crispr therapeutics ag
Criteo SA (ADR),CRTO,criteo sa (adr),3,criteo sa (adr)
Crocs ,CROX,crocs ,1,crocs
Cross Country Healthcare ,CCRN,cross country healthcare ,3,cross country healthcare
Crossroads Capital ,XRDC,crossroads capital ,2,crossroads capital
Crossroads Systems ,CRDS,crossroads systems ,2,crossroads systems
Crossroads Systems   Series H Cumulative Perpetual Preferred Stock,CRDSH,crossroads systems   series h cumulative perpetual preferred stock,8,crossroads systems
Crown Crafts ,CRWS,crown crafts ,2,crown crafts
Crown Media Holdings ,CRWN,crown media holdings ,3,crown media holdings
CryoPort ,CYRX,cryoport ,1,cryoport
Ctrip International  (ADR),CTRP,ctrip international  (adr),3,ctrip international
Cubist Pharmaceuticals  (Inactive),CBST,cubist pharmaceuticals  (inactive),3,cubist pharmaceuticals
Cumberland Pharmaceuticals ,CPIX,cumberland pharmaceuticals ,2,cumberland pharmaceuticals
Cumulus Media ,CMLS,cumulus media ,2,cumulus media
Curis ,CRIS,curis ,1,curis
Cutera ,CUTR,cutera ,1,cutera
CyberOptics Corporation,CYBE,cyberoptics corporation,2,cyberoptics corporation
Cyberark Software ,CYBR,cyberark software ,2,cyberark software
Cyberonics ,CYBX,cyberonics ,1,cyberonics
Cybex International  (Inactive),CYBI,cybex international  (inactive),3,cybex international
Cyclacel Pharmaceuticals ,CYCCP,cyclacel pharmaceuticals ,2,cyclacel pharmaceuticals
Cyclacel Pharmaceuticals ,CYCC,cyclacel pharmaceuticals ,2,cyclacel pharmaceuticals
CymaBay Therapeutics ,CBAY,cymabay therapeutics ,2,cymabay therapeutics
Cymer ,CYMI,cymer ,1,cymer
Cynapsus Therapeutics ,CYNA,cynapsus therapeutics ,2,cynapsus therapeutics
Cynosure ,CYNO,cynosure ,1,cynosure
Cypress Semiconductor Corporation,CY,cypress semiconductor corporation,3,cypress semiconductor corporation
Cyren ,CYRN,cyren ,1,cyren
CyrusOne ,CONE,cyrusone ,1,cyrusone
CytRx Corporation,CYTR,cytrx corporation,2,cytrx corporation
Cytokinetics ,CYTK,cytokinetics ,1,cytokinetics
CytomX Therapeutics ,CTMX,cytomx therapeutics ,2,cytomx therapeutics
Cytori Therapeutics ,CYTX,cytori therapeutics ,2,cytori therapeutics
Cytosorbents Corp,CTSO,cytosorbents corp,2,cytosorbents corp
DARA Biosciences ,DARA,dara biosciences ,2,dara biosciences
DASAN Zhone Solutions ,DZSI,dasan zhone solutions ,3,dasan zhone solutions
DBV Technologies SA  ADR,DBVT,dbv technologies sa  adr,4,dbv technologies sa
DENTSPLY SIRONA ,XRAY,dentsply sirona ,2,dentsply sirona
DFC Global Corp (Inactive),DLLR,dfc global corp (inactive),4,dfc global corp
DHX Media  (USA),DHXM,dhx media  (usa),3,dhx media
DIRECTV,DTV,directv,1,directv
DISH Network Corp,DISH,dish network corp,3,dish network corp
DLH Holdings Corp.,DLHC,dlh holdings corp.,3,dlh holdings corp.
DNB Financial Corp,DNBF,dnb financial corp,3,dnb financial corp
DSP Group ,DSPG,dsp group ,2,dsp group
DTLR Holding ,DTLR,dtlr holding ,2,dtlr holding
DTS ,DTSI,dts ,1,dts
DURECT Corporation,DRRX,durect corporation,2,durect corporation
DXP Enterprises ,DXPE,dxp enterprises ,2,dxp enterprises
Daily Journal Corporation,DJCO,daily journal corporation,3,daily journal corporation
Daktronics ,DAKT,daktronics ,1,daktronics
DarioHealth Corp,DRIO,dariohealth corp,2,dariohealth corp
Daseke ,DSKE,daseke ,1,daseke
Daseke ,HCACU,daseke ,1,daseke
Data I/O Corporation,DAIO,data i/o corporation,3,data i/o corporation
Datalink Corporation,DTLK,datalink corporation,2,datalink corporation
Dataram Corp,DRAM,dataram corp,2,dataram corp
Datawatch Corporation,DWCH,datawatch corporation,2,datawatch corporation
Dave & Buster's Entertainment ,PLAY,dave & buster's entertainment ,4,dave & buster's
DavidsTea ,DTEA,davidstea ,1,davidstea
Dawson Geophysical Co,DWSN,dawson geophysical co,3,dawson geophysical co
DealerTrack Technologies ,TRAK,dealertrack technologies ,2,dealertrack technologies
Del Frisco's Restaurant Group ,DFRG,del frisco's restaurant group ,4,del frisco's restaurant
Del Taco Restaurants ,LEVYU,del taco restaurants ,3,del taco restaurants
Del Taco Restaurants ,TACO,del taco restaurants ,3,del taco restaurants
DelMar Pharmaceuticals ,DMPI,delmar pharmaceuticals ,2,delmar pharmaceuticals
Delcath Systems ,DCTH,delcath systems ,2,delcath systems
Dell ,DELL,dell ,1,dell
Dell Software  (Inactive),QSFT,dell software  (inactive),3,dell software
Delta Natural Gas Company ,DGAS,delta natural gas company ,4,delta natural gas
Delta Technology Holdings Limited  Ordinary Shares,DELT,delta technology holdings limited  ordinary shares,6,delta technology holdings
Delta Technology Holdings ,CISAU,delta technology holdings ,3,delta technology holdings
Deltek ,PROJ,deltek ,1,deltek
DemandTec  (Inactive),DMAN,demandtec  (inactive),2,demandtec (inactive)
Denny's Corporation,DENN,denny's corporation,2,denny's corporation
Depomed ,DEPO,depomed ,1,depomed
Derma Sciences ,DSCI,derma sciences ,2,derma sciences
Dermira ,DERM,dermira ,1,dermira
Descartes Systems Group  (USA),DSGX,descartes systems group  (usa),4,descartes systems group
Destination Maternity Corp,DEST,destination maternity corp,3,destination maternity corp
Destination XL Group ,DXLG,destination xl group ,3,destination xl group
Deswell Industries ,DSWL,deswell industries ,2,deswell industries
Determine ,DTRM,determine ,1,determine
DexCom ,DXCM,dexcom ,1,dexcom
Dextera Surgical ,DXTR,dextera surgical ,2,dextera surgical
Diamond Foods ,DMND,diamond foods ,2,diamond foods
Diamond Hill Investment Group ,DHIL,diamond hill investment group ,4,diamond hill investment
Diamondback Energy ,FANG,diamondback energy ,2,diamondback energy
Diana Containerships ,DCIX,diana containerships ,2,diana containerships
Dicerna Pharmaceuticals ,DRNA,dicerna pharmaceuticals ,2,dicerna pharmaceuticals
Differential Brands Group ,DFBG,differential brands group ,3,differential brands group
Diffusion Pharmaceuticals ,DFFN,diffusion pharmaceuticals ,2,diffusion pharmaceuticals
Digi International ,DGII,digi international ,2,digi international
Digiliti Money Group ,DGLT,digiliti money group ,3,digiliti money group
Digimarc Corp,DMRC,digimarc corp,2,digimarc corp
Digirad Corporation,DRAD,digirad corporation,2,digirad corporation
Digital Ally ,DGLY,digital ally ,2,digital ally
Digital Cinema Destinations Corp,DCIN,digital cinema destinations corp,4,digital cinema destinations
Digital Generation  (Inactive),DGIT,digital generation  (inactive),3,digital generation
Digital River ,DRIV,digital river ,2,digital river
Digital Turbine ,APPS,digital turbine ,2,digital turbine
Dime Community Bancshares ,DCOM,dime community bancshares ,3,dime community bancshares
Dimension Therapeutics ,DMTX,dimension therapeutics ,2,dimension therapeutics
Diodes orporated,DIOD,diodes orporated,2,diodes orporated
Discovery Communications ,DISCB,discovery communications ,2,discovery communications
Discovery Communications ,DISCK,discovery communications ,2,discovery communications
Discovery Communications ,DISCA,discovery communications ,2,discovery communications
Ditech Networks  (Inactive),DITC,ditech networks  (inactive),3,ditech networks
Diversicare Healthcare Services ,DVCR,diversicare healthcare services ,3,diversicare healthcare services
Diversified Restaurant Holdings ,SAUC,diversified restaurant holdings ,3,diversified restaurant holdings
Dixie Group ,DXYN,dixie group ,2,dixie group
Dmc Global ,BOOM,dmc global ,2,dmc global
Dollar Tree ,DLTR,dollar tree ,2,dollar tree
Donegal Group ,DGICA,donegal group ,2,donegal group
Donegal Group ,DGICB,donegal group ,2,donegal group
Dorchester Minerals LP,DMLP,dorchester minerals lp,3,dorchester minerals lp
Dorman Products ,DORM,dorman products ,2,dorman products
Dot Hill Systems Corp.,HILL,dot hill systems corp.,4,dot hill systems
Double Eagle Acquisition Corp,EAGL,double eagle acquisition corp,4,double eagle acquisition
Double Eagle Acquisition Corp (Inactive),EAGLU,double eagle acquisition corp (inactive),5,double eagle acquisition
Dover Saddlery ,DOVR,dover saddlery ,2,dover saddlery
DragonWave (USA),DRWI,dragonwave (usa),2,dragonwave (usa)
DreamWorks Animation LLC,DWA,dreamworks animation llc,3,dreamworks animation llc
DryShips ,DRYS,dryships ,1,dryships
Duluth Holdings ,DLTH,duluth holdings ,2,duluth holdings
Dunkin Brands Group ,DNKN,dunkin brands group ,3,dunkin brands group
Durata Therapeutics ,DRTX,durata therapeutics ,2,durata therapeutics
Dyax Corp.,DYAX,dyax corp.,2,dyax corp.
Dynamics Research Corporation (Inactive),DRCO,dynamics research corporation (inactive),4,dynamics research corporation
Dynasil Corporation of America,DYSL,dynasil corporation of america,4,dynasil corporation of
Dynatronics Corporation,DYNT,dynatronics corporation,2,dynatronics corporation
Dynavax Technologies Corporation,DVAX,dynavax technologies corporation,3,dynavax technologies corporation
E*TRADE Financial Corp,ETFC,e*trade financial corp,3,e*trade financial corp
ECompass Acquisition Corp,ECACU,ecompass acquisition corp,3,ecompass acquisition corp
Ecompass Acquisition Corp.  Ordinary Shares,ECAC,ecompass acquisition corp.  ordinary shares,5,ecompass acquisition corp.
E2open ,EOPN,e2open ,1,e2open
EBAY ,EBAYV,ebay ,1,ebay
EDAC Technologies Corp (Inactive),EDAC,edac technologies corp (inactive),4,edac technologies corp
EDGAR Online  (Inactive),EDGR,edgar online  (inactive),3,edgar online
EMC Insurance Group ,EMCI,emc insurance group ,3,emc insurance group
EMCORE Corporation,EMKR,emcore corporation,2,emcore corporation
ENDRA Life Sciences ,NDRA,endra life sciences ,3,endra life sciences
ENDRA Life Sciences ,NDRAU,endra life sciences ,3,endra life sciences
ENGlobal Corp,ENG,englobal corp,2,englobal corp
EPIQ Systems ,EPIQ,epiq systems ,2,epiq systems
ESB Financial Corporation,ESBF,esb financial corporation,3,esb financial corporation
ESSA Bancorp ,ESSA,essa bancorp ,2,essa bancorp
ESSA Pharma ,EPIX,essa pharma ,2,essa pharma
EV Energy Partners L.P.,EVEP,ev energy partners l.p.,4,ev energy partners
EVINE Live ,EVLV,evine live ,2,evine live
EXACT Sciences Corporation,EXAS,exact sciences corporation,3,exact sciences corporation
EZCORP ,EZPW,ezcorp ,1,ezcorp
EZchip Semiconductor ,EZCH,ezchip semiconductor ,2,ezchip semiconductor
Eagle Bancorp Montana ,EBMT,eagle bancorp montana ,3,eagle bancorp montana
Eagle Bancorp ,EGBN,eagle bancorp ,2,eagle bancorp
Eagle Bulk Shipping ,EGLE,eagle bulk shipping ,3,eagle bulk shipping
Eagle Pharmaceuticals ,EGRX,eagle pharmaceuticals ,2,eagle pharmaceuticals
Eagle Rock Energy Partners L.P.,EROC,eagle rock energy partners l.p.,5,eagle rock energy
EarthLink Holdings Corp.,ELNK,earthlink holdings corp.,3,earthlink holdings corp.
East West Bancorp ,EWBC,east west bancorp ,3,east west bancorp
Easterly Acquisition Corp,EACQU,easterly acquisition corp,3,easterly acquisition corp
Easterly Acquisition Corp,EACQ,easterly acquisition corp,3,easterly acquisition corp
Eastern Co,EML,eastern co,2,eastern co
